# Matter power spectrum P(k) at redshift z=0
# for k=2.09001e-07 to 345.411 h/Mpc,
# number of wavenumbers equal to 592
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.736469759671e-01       6.257017268307e+02 
       3.768603327504e-01       6.157367359335e+02 
       3.800736899251e-01       6.059611516104e+02 
       3.832870474814e-01       5.963421572430e+02 
       3.865004054095e-01       5.868258663443e+02 
       3.897137637003e-01       5.773463252241e+02 
       3.929271223449e-01       5.679427030981e+02 
       3.961404813346e-01       5.585499100887e+02 
       3.993538406611e-01       5.492436363650e+02 
       4.025672003162e-01       5.399840967060e+02 
       4.057805602921e-01       5.308519477302e+02 
       4.089939205813e-01       5.218741029729e+02 
       4.122072811763e-01       5.130956766860e+02 
       4.154206420700e-01       5.045626936466e+02 
       4.186340032556e-01       4.962655533640e+02 
       4.218473647264e-01       4.882547571997e+02 
       4.250607264758e-01       4.804963715317e+02 
       4.282740884976e-01       4.730074903074e+02 
       4.314874507856e-01       4.657488184034e+02 
       4.347008133339e-01       4.587269677366e+02 
       4.379141761368e-01       4.519068720641e+02 
       4.411275391887e-01       4.452983161515e+02 
       4.443409024842e-01       4.388369646860e+02 
       4.475542660180e-01       4.325096546111e+02 
       4.507676297849e-01       4.262985842962e+02 
       4.539809937801e-01       4.201744122209e+02 
       4.571943579987e-01       4.141222382466e+02 
       4.604077224360e-01       4.081376922484e+02 
       4.636210870874e-01       4.022226803214e+02 
       4.668344519485e-01       3.963831530215e+02 
       4.700478170150e-01       3.906250421217e+02 
       4.732611822826e-01       3.849544603745e+02 
       4.764745477474e-01       3.793773512851e+02 
       4.796879134053e-01       3.739006134185e+02 
       4.829012792524e-01       3.685368642246e+02 
       4.861146452851e-01       3.632987868239e+02 
       4.893280114996e-01       3.581893599721e+02 
       4.925413778923e-01       3.532056424150e+02 
       4.957547444598e-01       3.483634032060e+02 
       4.989681111987e-01       3.436469785296e+02 
       5.021814781057e-01       3.390535051916e+02 
       5.053948451775e-01       3.345484989981e+02 
       5.086082124111e-01       3.301329130941e+02 
       5.118215798034e-01       3.258053991383e+02 
       5.150349473514e-01       3.215555032971e+02 
       5.182483150522e-01       3.173771280528e+02 
       5.214616829029e-01       3.132643601426e+02 
       5.246750509009e-01       3.092104103582e+02 
       5.278884190433e-01       3.052105006019e+02 
       5.311017873277e-01       3.012627803707e+02 
       5.343151557513e-01       2.973690596249e+02 
       5.375285243117e-01       2.935339616319e+02 
       5.407418930065e-01       2.897631369377e+02 
       5.439552618333e-01       2.860611058847e+02 
       5.471686307897e-01       2.824295735661e+02 
       5.503819998734e-01       2.788667611953e+02 
       5.535953690823e-01       2.753723874557e+02 
       5.568087384142e-01       2.719437276242e+02 
       5.600221078669e-01       2.685786673594e+02 
       5.632354774383e-01       2.652801807467e+02 
       5.664488471265e-01       2.620457916006e+02 
       5.696622169294e-01       2.588751130426e+02 
       5.728755868452e-01       2.557642500583e+02 
       5.760889568719e-01       2.527090366087e+02 
       5.793023270077e-01       2.497043764745e+02 
       5.825156972507e-01       2.467460985464e+02 
       5.857290675992e-01       2.438320616499e+02 
       5.889424380515e-01       2.409620967810e+02 
       5.921558086059e-01       2.381365802156e+02 
       5.953691792606e-01       2.353555398795e+02 
       5.985825500142e-01       2.326174541930e+02 
       6.017959208650e-01       2.299206142151e+02 
       6.050092918114e-01       2.272628517595e+02 
       6.082226628520e-01       2.246431055111e+02 
       6.114360339851e-01       2.220623572349e+02 
       6.146494052095e-01       2.195222708433e+02 
       6.178627765237e-01       2.170248818574e+02 
       6.210761479262e-01       2.145709664757e+02 
       6.242895194157e-01       2.121600391560e+02 
       6.275028909908e-01       2.097905028655e+02 
       6.636584584653e-01       1.855345024103e+02 
       7.069597296522e-01       1.613135933876e+02 
       7.612400396424e-01       1.367896868777e+02 
       8.338804383023e-01       1.114295487902e+02 
       9.402231248573e-01       8.480311800847e+01 
       1.110582888560e+00       5.775707875747e+01 
       1.376289012295e+00       3.491927299301e+01 
       1.731171147290e+00       2.019324213953e+01 
       2.179394377784e+00       1.155025432169e+01 
       2.743694908905e+00       6.553279481170e+00 
       3.454107243011e+00       3.690738392446e+00 
       4.348463383289e+00       2.064906104356e+00 
       5.474391055479e+00       1.148206296161e+00 
       6.891850013842e+00       6.349372525255e-01 
       8.676325116699e+00       3.493249513453e-01 
       1.092284617040e+01       1.912869883512e-01 
       1.375104861304e+01       1.042878937309e-01 
       1.731154453777e+01       5.662601474423e-02 
       2.179394333600e+01       3.062800003135e-02 
       2.743694908890e+01       1.650471000369e-02 
       3.454107243011e+01       8.861844846302e-03 
       4.348463383289e+01       4.740563275918e-03 
       5.474391055479e+01       2.525851672735e-03 
       6.891850013842e+01       1.339779699048e-03 
       8.676325116699e+01       7.067870356640e-04 
       1.092284617040e+02       3.702726113134e-04 
       1.375104861304e+02       1.921642008235e-04 
       1.731154453777e+02       9.845123222344e-05 
       2.179394333600e+02       4.954661728771e-05 
       2.743694908890e+02       2.435082592848e-05 
       3.454107243011e+02       1.162306785512e-05 
